Date,Price
2016-12-12,1.3961
2016-12-09,1.4022
2016-12-08,1.4066
2016-12-07,1.4041
2016-12-06,1.4043
2016-12-05,1.4039
2016-12-02,1.4016
2016-12-01,1.4043
2016-11-30,1.408
2016-11-29,1.4103
2016-11-28,1.4097
2016-11-25,1.4054
2016-11-24,1.4063
2016-11-23,1.4091
2016-11-22,1.4098
2016-11-21,1.4075
2016-11-18,1.409
2016-11-17,1.4107
2016-11-16,1.4091
2016-11-15,1.408
2016-11-14,1.4054
2016-11-11,1.4129
2016-11-10,1.4204
2016-11-09,1.4288
2016-11-08,1.431
2016-11-07,1.4319
2016-11-04,1.4339
2016-11-03,1.4338
2016-11-02,1.4332
2016-11-01,1.4312
2016-10-31,1.4304
2016-10-28,1.4287
2016-10-27,1.4324
2016-10-26,1.4346
2016-10-25,1.4357
2016-10-24,1.4374
2016-10-20,1.437
2016-10-19,1.437
2016-10-18,1.433
2016-10-17,1.4312
2016-10-14,1.4321
2016-10-13,1.4332
2016-10-12,1.4304
2016-10-11,1.4312
2016-10-07,1.4344
2016-10-06,1.4347
2016-10-05,1.4355
2016-10-04,1.4366
2016-10-03,1.4375
2016-09-30,1.4404
2016-09-29,1.4395
2016-09-28,1.4404
2016-09-27,1.4405
2016-09-26,1.4406
2016-09-23,1.4374
2016-09-22,1.4364
2016-09-21,1.4336
2016-09-20,1.4336
2016-09-19,1.433
2016-09-15,1.4339
2016-09-14,1.4308
2016-09-13,1.4346
2016-09-12,1.4344
2016-09-09,1.4386
2016-09-08,1.4423
2016-09-07,1.4426
2016-09-06,1.4391
2016-09-05,1.4392
2016-09-02,1.4391
2016-09-01,1.4394
2016-08-31,1.4411
2016-08-30,1.4411
2016-08-29,1.4396
2016-08-26,1.4405
2016-08-25,1.4424
2016-08-24,1.4417
2016-08-23,1.4416
2016-08-22,1.4384
2016-08-19,1.441
2016-08-18,1.4442
2016-08-17,1.4437
2016-08-16,1.4449
2016-08-15,1.4449
2016-08-12,1.4425
2016-08-11,1.4431
2016-08-10,1.444
2016-08-09,1.4407
2016-08-08,1.4399
2016-08-05,1.4417
2016-08-04,1.439
2016-08-03,1.439
2016-08-01,1.4418
2016-07-29,1.4393
2016-07-28,1.4383
2016-07-27,1.4365
2016-07-26,1.4349
2016-07-25,1.433
2016-07-22,1.4346
2016-07-21,1.4347
2016-07-20,1.435
2016-07-19,1.4361
2016-07-18,1.435
2016-07-15,1.436
2016-07-14,1.4385
2016-07-13,1.4371
2016-07-12,1.4386
2016-07-11,1.4425
2016-07-08,1.4417
2016-07-07,1.4409
2016-07-06,1.441
2016-07-05,1.4392
2016-07-04,1.4381
2016-06-30,1.4367
2016-06-29,1.4378
2016-06-28,1.4385
2016-06-27,1.436
2016-06-24,1.4331
2016-06-23,1.4268
2016-06-22,1.427
2016-06-21,1.4288
2016-06-20,1.428
2016-06-17,1.4292
2016-06-16,1.4328
2016-06-15,1.4292
2016-06-14,1.4329
2016-06-13,1.4328
2016-06-10,1.4302
2016-06-08,1.4267
2016-06-07,1.424
2016-06-06,1.4258
2016-06-03,1.4209
2016-06-02,1.4184
2016-06-01,1.4176
2016-05-31,1.4177
2016-05-30,1.4177
2016-05-27,1.4188
2016-05-26,1.4179
2016-05-25,1.417
2016-05-24,1.418
2016-05-23,1.419
2016-05-20,1.4172
2016-05-19,1.4144
2016-05-18,1.4183
2016-05-17,1.4193
2016-05-16,1.4203
2016-05-13,1.4215
2016-05-12,1.4215
2016-05-11,1.4206
2016-05-10,1.4197
2016-05-09,1.4178
2016-05-06,1.417
2016-05-05,1.4161
2016-05-04,1.4162
2016-05-03,1.4153
2016-04-29,1.4164
2016-04-28,1.4136
2016-04-27,1.4088
2016-04-26,1.4089
2016-04-25,1.4109
2016-04-22,1.413
2016-04-21,1.4101
2016-04-20,1.4188
2016-04-19,1.4179
2016-04-18,1.4199
2016-04-15,1.4181
2016-04-14,1.4191
2016-04-13,1.4182
2016-04-12,1.4202
2016-04-11,1.4222
2016-04-08,1.4223
2016-04-07,1.4224
2016-04-06,1.4224
2016-04-05,1.4235
2016-04-01,1.4217
