Date,Price
2016-12-12,4.7318
2016-12-09,4.8039
2016-12-08,4.8208
2016-12-07,4.8029
2016-12-06,4.7902
2016-12-05,4.7686
2016-12-02,4.7866
2016-12-01,4.8371
2016-11-30,4.8216
2016-11-29,4.8043
2016-11-28,4.8171
2016-11-25,4.7952
2016-11-24,4.7827
2016-11-23,4.791
2016-11-22,4.7997
2016-11-21,4.7651
2016-11-18,4.7675
2016-11-17,4.7274
2016-11-16,4.7234
2016-11-15,4.7156
2016-11-14,4.7103
2016-11-11,4.7686
2016-11-10,4.8399
2016-11-09,4.7704
2016-11-08,4.8603
2016-11-07,4.8423
2016-11-04,4.8104
2016-11-03,4.8185
2016-11-02,4.8443
2016-11-01,4.8997
2016-10-31,4.8623
2016-10-28,4.8779
2016-10-27,4.9039
2016-10-26,4.9391
2016-10-25,4.9871
2016-10-24,4.9985
2016-10-20,4.9726
2016-10-19,4.9555
2016-10-18,4.9608
2016-10-17,4.8929
2016-10-14,4.9246
2016-10-13,4.8928
2016-10-12,4.9493
2016-10-11,4.968
2016-10-07,5.0123
2016-10-06,5.0322
2016-10-05,5.0201
2016-10-04,5.0068
2016-10-03,4.9802
2016-09-30,4.9092
2016-09-29,4.9757
2016-09-28,4.9508
2016-09-27,4.9427
2016-09-26,4.9033
2016-09-23,4.9693
2016-09-22,4.9815
2016-09-21,4.9602
2016-09-20,4.9394
2016-09-19,4.9504
2016-09-15,4.9156
2016-09-14,4.8824
2016-09-13,4.8863
2016-09-12,4.9022
2016-09-09,5.0453
2016-09-08,5.0395
2016-09-07,5.0072
2016-09-06,5.0204
2016-09-05,4.9862
2016-09-02,4.9179
2016-09-01,4.8903
2016-08-31,4.874
2016-08-30,4.8971
2016-08-29,4.8581
2016-08-26,4.8774
2016-08-25,4.8433
2016-08-24,4.8386
2016-08-23,4.8472
2016-08-22,4.849
2016-08-19,4.8426
2016-08-18,4.8507
2016-08-17,4.8196
2016-08-16,4.818
2016-08-15,4.8101
2016-08-12,4.7735
2016-08-11,4.7385
2016-08-10,4.7114
2016-08-09,4.7094
2016-08-08,4.7235
2016-08-05,4.6558
2016-08-04,4.5977
2016-08-03,4.5943
2016-08-01,4.6295
2016-07-29,4.6
2016-07-28,4.6545
2016-07-27,4.6513
2016-07-26,4.6376
2016-07-25,4.6183
2016-07-22,4.6184
2016-07-21,4.6422
2016-07-20,4.6152
2016-07-19,4.5784
2016-07-18,4.5938
2016-07-15,4.5821
2016-07-14,4.5595
2016-07-13,4.5265
2016-07-12,4.5163
2016-07-11,4.4437
2016-07-08,4.3807
2016-07-07,4.3917
2016-07-06,4.3546
2016-07-05,4.4047
2016-07-04,4.4514
2016-06-30,4.4093
2016-06-29,4.328
2016-06-28,4.2688
2016-06-27,4.2642
2016-06-24,4.2765
2016-06-23,4.368
2016-06-22,4.3752
2016-06-21,4.3482
2016-06-20,4.3315
2016-06-17,4.2936
2016-06-16,4.2619
2016-06-15,4.3195
2016-06-14,4.2921
2016-06-13,4.3368
2016-06-10,4.4346
2016-06-08,4.4867
2016-06-07,4.4925
2016-06-06,4.4197
2016-06-03,4.4049
2016-06-02,4.3913
2016-06-01,4.3652
2016-05-31,4.374
2016-05-30,4.3461
2016-05-27,4.3177
2016-05-26,4.288
2016-05-25,4.2788
2016-05-24,4.2147
2016-05-23,4.2164
2016-05-20,4.231
2016-05-19,4.2061
2016-05-18,4.2423
2016-05-17,4.2769
2016-05-16,4.2426
2016-05-13,4.2226
2016-05-12,4.2526
2016-05-11,4.2794
2016-05-10,4.2905
2016-05-09,4.2907
2016-05-06,4.2833
2016-05-05,4.3399
2016-05-04,4.3605
2016-05-03,4.3669
2016-04-29,4.4162
2016-04-28,4.4509
2016-04-27,4.4463
2016-04-26,4.459
2016-04-25,4.4686
2016-04-22,4.5052
2016-04-21,4.5289
2016-04-20,4.4694
2016-04-19,4.5402
2016-04-18,4.5215
2016-04-15,4.5597
2016-04-14,4.5442
2016-04-13,4.5255
2016-04-12,4.4361
2016-04-11,4.4268
2016-04-08,4.4163
2016-04-07,4.407
2016-04-06,4.3868
2016-04-05,4.3602
2016-04-01,4.3891
2016-03-31,4.4349
2016-03-30,4.435
2016-03-29,4.344
2016-03-24,4.3605
2016-03-23,4.3764
2016-03-22,4.4064
2016-03-21,4.3783
2016-03-18,4.3442
2016-03-17,4.327
2016-03-16,4.2643
2016-03-15,4.2707
2016-03-14,4.2866
2016-03-11,4.2415
2016-03-10,4.2055
2016-03-09,4.204
2016-03-08,4.2152
2016-03-07,4.2641
2016-03-04,4.2771
2016-03-03,4.2521
2016-03-02,4.2664
2016-03-01,4.1565
2016-02-29,4.1079
2016-02-26,4.1524
2016-02-25,4.0755
2016-02-24,4.1307
2016-02-23,4.1591
2016-02-22,4.1719
2016-02-19,4.1456
2016-02-18,4.1252
2016-02-17,4.0498
2016-02-16,4.083
2016-02-15,4.0454
2016-02-12,3.9545
2016-02-11,3.9751
2016-02-05,4.0673
2016-02-04,4.0548
2016-02-03,4.0314
2016-02-02,4.1275
2016-02-01,4.1307
2016-01-29,4.1139
2016-01-28,4.0416
2016-01-27,4.0339
2016-01-26,4.0089
2016-01-25,4.0893
2016-01-22,4.0441
2016-01-21,3.9592
2016-01-20,4.0444
2016-01-19,4.1849
2016-01-18,4.1219
2016-01-15,4.1634
2016-01-14,4.2061
2016-01-13,4.2393
2016-01-12,4.2048
2016-01-11,4.2144
2016-01-08,4.3299
2016-01-07,4.3584
2016-01-06,4.4657
2016-01-05,4.4974
2016-01-04,4.5071
2015-12-31,4.6244
2015-12-30,4.6167
2015-12-29,4.6089
2015-12-28,4.5886
2015-12-24,4.6114
2015-12-23,4.6036
2015-12-22,4.5628
2015-12-21,4.5457
2015-12-18,4.5462
2015-12-17,4.5558
2015-12-16,4.5275
2015-12-15,4.4709
2015-12-14,4.4742
2015-12-11,4.5047
2015-12-10,4.5522
2015-12-09,4.5839
2015-12-08,4.5935
2015-12-07,4.6521
2015-12-04,4.6494
2015-12-03,4.6654
2015-12-02,4.6798
2015-12-01,4.6468
2015-11-30,4.5791
2015-11-27,4.5843
2015-11-26,4.6524
2015-11-25,4.6825
2015-11-24,4.7016
2015-11-23,4.716
2015-11-20,4.726
2015-11-19,4.6993
2015-11-18,4.6427
2015-11-17,4.6334
2015-11-16,4.5941
2015-11-13,4.6609
2015-11-12,4.7226
2015-11-11,4.6376
2015-11-10,4.6377
2015-11-09,4.7153
2015-11-06,4.7426
2015-11-05,4.7491
2015-11-04,4.7714
2015-11-03,4.6958
2015-11-02,4.6564
2015-10-30,4.7122
2015-10-29,4.7061
2015-10-28,4.7473
2015-10-27,4.7665
2015-10-26,4.7793
2015-10-23,4.7877
2015-10-22,4.7278
2015-10-20,4.725
2015-10-19,4.7362
2015-10-16,4.7273
2015-10-15,4.7148
2015-10-14,4.6549
2015-10-13,4.6788
2015-10-12,4.6868
2015-10-09,4.6415
2015-10-08,4.6227
2015-10-07,4.6624
2015-10-06,4.5488
2015-10-05,4.5316
2015-10-02,4.483
2015-09-30,4.3822
2015-09-29,4.2985
2015-09-25,4.413
2015-09-24,4.4132
2015-09-23,4.4244
2015-09-22,4.5321
2015-09-21,4.5133
2015-09-18,4.5438
2015-09-17,4.5123
2015-09-16,4.503
2015-09-15,4.4288
2015-09-14,4.4828
2015-09-11,4.4785
2015-09-10,4.5024
2015-09-09,4.5784
2015-09-08,4.4378
2015-09-07,4.3209
2015-09-04,4.3498
2015-09-02,4.3217
2015-09-01,4.3535
2015-08-31,4.4421
2015-08-28,4.4616
2015-08-27,4.4364
2015-08-26,4.2927
2015-08-25,4.3087
2015-08-24,4.274
2015-08-21,4.4992
2015-08-20,4.5643
2015-08-19,4.6849
2015-08-18,4.7438
2015-08-17,4.7946
2015-08-14,4.8173
2015-08-13,4.8286
2015-08-12,4.8319
2015-08-11,4.9161
2015-08-10,4.902
2015-08-07,4.8851
2015-08-06,4.8694
2015-08-05,4.887
2015-08-04,4.8793
2015-08-03,4.8842
2015-07-31,4.9291
2015-07-30,4.915
2015-07-29,4.9136
2015-07-28,4.9059
2015-07-27,4.8918
2015-07-24,5.0524
2015-07-23,5.0843
2015-07-22,5.0718
2015-07-21,5.1164
2015-07-20,5.0959
2015-07-17,5.0965
2015-07-16,5.0333
2015-07-15,5.0145
2015-07-14,5.0273
2015-07-13,5.0386
2015-07-10,4.9616
2015-07-09,4.862
2015-07-08,4.6532
2015-07-07,4.9021
2015-07-06,4.964
2015-07-03,5.0849
2015-07-02,5.1561
2015-06-30,5.1675
2015-06-29,5.0917
2015-06-26,5.2032
2015-06-25,5.2986
2015-06-24,5.3401
2015-06-23,5.3371
2015-06-22,5.2865
2015-06-19,5.2284
2015-06-18,5.2238
2015-06-17,5.2177
2015-06-16,5.175
2015-06-15,5.2196
2015-06-12,5.2917
2015-06-11,5.2315
2015-06-10,5.2063
2015-06-09,5.2239
2015-06-08,5.2972
2015-06-05,5.3406
2015-06-04,5.3821
2015-06-03,5.4156
2015-06-02,5.3301
2015-06-01,5.3747
2015-05-29,5.3341
2015-05-28,5.339
2015-05-27,5.4265
2015-05-26,5.4299
2015-05-22,5.4037
2015-05-21,5.361
2015-05-20,5.3739
2015-05-19,5.3804
2015-05-18,5.36
2015-05-15,5.3732
2015-05-14,5.3083
2015-05-13,5.3149
2015-05-12,5.3325
2015-05-11,5.3645
2015-05-08,5.3365
2015-05-07,5.2858
2015-05-06,5.3798
2015-05-05,5.3879
2015-05-04,5.4342
2015-04-30,5.4207
2015-04-29,5.4654
2015-04-28,5.4799
2015-04-27,5.488
2015-04-24,5.4489
2015-04-23,5.4268
2015-04-22,5.4413
2015-04-21,5.4145
2015-04-20,5.297
2015-04-17,5.4072
2015-04-16,5.409
2015-04-15,5.3647
2015-04-14,5.3823
2015-04-13,5.4795
2015-04-10,5.3449
2015-04-09,5.3148
2015-04-08,5.229
2015-04-02,5.0678
2015-04-01,5.0123
2015-03-31,4.9695
2015-03-30,4.9426
2015-03-27,4.8906
2015-03-26,4.8621
2015-03-25,4.8384
2015-03-24,4.8179
2015-03-23,4.8213
2015-03-20,4.817
2015-03-19,4.8379
2015-03-18,4.7839
2015-03-17,4.7554
2015-03-16,4.746
2015-03-13,4.7561
2015-03-12,4.7658
2015-03-11,4.7581
2015-03-10,4.7837
2015-03-09,4.8141
2015-03-06,4.829
2015-03-05,4.8005
2015-03-04,4.8261
2015-03-03,4.847
2015-03-02,4.86
2015-02-27,4.8206
2015-02-26,4.8383
2015-02-25,4.8226
2015-02-24,4.7989
2015-02-23,4.8054
2015-02-18,4.7887
2015-02-17,4.7889
2015-02-16,4.7859
2015-02-13,4.7832
2015-02-12,4.7531
2015-02-11,4.7532
2015-02-10,4.7646
2015-02-09,4.7536
2015-02-06,4.7828
2015-02-05,4.7638
2015-02-04,4.7768
2015-02-03,4.769
2015-02-02,4.7516
2015-01-30,4.7617
2015-01-29,4.7602
2015-01-28,4.7843
2015-01-27,4.7861
2015-01-26,4.8006
2015-01-23,4.8075
2015-01-22,4.7375
2015-01-21,4.7313
2015-01-20,4.6772
2015-01-19,4.6423
2015-01-16,4.6859
2015-01-15,4.7164
2015-01-14,4.6942
2015-01-13,4.7231
2015-01-12,4.7073
2015-01-09,4.6568
2015-01-08,4.6074
2015-01-07,4.5725
2015-01-06,4.5679
2015-01-05,4.6096
2015-01-02,4.6308
2014-12-31,4.5976
2014-12-30,4.5818
2014-12-29,4.6123
2014-12-24,4.5557
2014-12-23,4.5447
2014-12-22,4.548
2014-12-19,4.4895
2014-12-18,4.4626
2014-12-17,4.4245
2014-12-16,4.4501
2014-12-15,4.5094
2014-12-12,4.545
2014-12-11,4.5419
2014-12-10,4.5884
2014-12-09,4.5646
2014-12-08,4.6558
2014-12-05,4.6946
2014-12-04,4.682
2014-12-03,4.6263
2014-12-02,4.6552
2014-12-01,4.6234
2014-11-28,4.7309
2014-11-27,4.755
2014-11-26,4.7679
2014-11-25,4.7378
2014-11-24,4.7251
2014-11-21,4.6618
2014-11-20,4.6412
2014-11-19,4.6286
2014-11-18,4.6447
2014-11-17,4.696
2014-11-14,4.7253
2014-11-13,4.6999
2014-11-12,4.6665
2014-11-11,4.6459
2014-11-10,4.6477
2014-11-07,4.6147
2014-11-06,4.658
2014-11-05,4.6629
2014-11-04,4.6951
2014-11-03,4.7161
2014-10-31,4.731
2014-10-30,4.68
2014-10-29,4.7089
2014-10-28,4.6835
2014-10-27,4.6469
2014-10-24,4.6762
2014-10-23,4.6812
2014-10-22,4.6877
2014-10-21,4.6271
2014-10-20,4.6257
2014-10-17,4.6102
2014-10-16,4.5928
2014-10-15,4.6409
2014-10-14,4.6395
2014-10-13,4.6397
2014-10-10,4.653
2014-10-09,4.7186
2014-10-08,4.6789
2014-10-07,4.7126
2014-10-06,4.6728
2014-10-03,4.6189
2014-09-30,4.6098
2014-09-29,4.6372
2014-09-26,4.7209
2014-09-25,4.7434
2014-09-24,4.7612
2014-09-23,4.739
2014-09-22,4.76
2014-09-19,4.7973
2014-09-18,4.8023
2014-09-17,4.8313
2014-09-16,4.8026
2014-09-15,4.8364
2014-09-12,4.8882
2014-09-11,4.898
2014-09-10,4.9142
2014-09-08,4.9866
2014-09-05,4.9727
2014-09-04,4.997
2014-09-03,4.9971
2014-09-02,4.914
2014-09-01,4.9157
2014-08-29,4.897
2014-08-28,4.8924
2014-08-27,4.923
2014-08-26,4.912
2014-08-25,4.9378
2014-08-22,4.9608
2014-08-21,4.945
2014-08-20,4.9724
2014-08-19,4.9517
2014-08-18,4.899
2014-08-15,4.8947
2014-08-14,4.8853
2014-08-13,4.8983
2014-08-12,4.8776
2014-08-11,4.8665
2014-08-08,4.8173
2014-08-07,4.8239
2014-08-06,4.8482
2014-08-05,4.8419
2014-08-04,4.8437
2014-08-01,4.825
2014-07-31,4.8685
