Date,Price
2016-12-12,2.3471
2016-12-09,2.3638
2016-12-08,2.3665
2016-12-07,2.3547
2016-12-06,2.3492
2016-12-05,2.3372
2016-12-02,2.337
2016-12-01,2.3484
2016-11-30,2.3527
2016-11-29,2.3488
2016-11-28,2.3513
2016-11-25,2.3456
2016-11-24,2.3347
2016-11-23,2.342
2016-11-22,2.3433
2016-11-21,2.3331
2016-11-18,2.3321
2016-11-17,2.3321
2016-11-16,2.3327
2016-11-15,2.3336
2016-11-14,2.3304
2016-11-11,2.3502
2016-11-10,2.3795
2016-11-09,2.3736
2016-11-08,2.3976
2016-11-07,2.3895
2016-11-04,2.375
2016-11-03,2.383
2016-11-02,2.3893
2016-11-01,2.4054
2016-10-31,2.4006
2016-10-28,2.4017
2016-10-27,2.4098
2016-10-26,2.4201
2016-10-25,2.4318
2016-10-24,2.4412
2016-10-20,2.4397
2016-10-19,2.4392
2016-10-18,2.4379
2016-10-17,2.4168
2016-10-14,2.4279
2016-10-13,2.4188
2016-10-12,2.4402
2016-10-11,2.449
2016-10-07,2.4624
2016-10-06,2.4743
2016-10-05,2.4749
2016-10-04,2.477
2016-10-03,2.4717
2016-09-30,2.4557
2016-09-29,2.4688
2016-09-28,2.4685
2016-09-27,2.4665
2016-09-26,2.4513
2016-09-23,2.4699
2016-09-22,2.4734
2016-09-21,2.4564
2016-09-20,2.4513
2016-09-19,2.45
2016-09-15,2.4362
2016-09-14,2.4256
2016-09-13,2.4333
2016-09-12,2.4392
2016-09-09,2.4679
2016-09-08,2.4853
2016-09-07,2.4848
2016-09-06,2.4773
2016-09-05,2.4686
2016-09-02,2.4563
2016-09-01,2.4397
2016-08-31,2.4435
2016-08-30,2.452
2016-08-29,2.4467
2016-08-26,2.4558
2016-08-25,2.4541
2016-08-24,2.4534
2016-08-23,2.4584
2016-08-22,2.449
2016-08-19,2.4524
2016-08-18,2.4585
2016-08-17,2.448
2016-08-16,2.4502
2016-08-15,2.4528
2016-08-12,2.4455
2016-08-11,2.4415
2016-08-10,2.4307
2016-08-09,2.4244
2016-08-08,2.4203
2016-08-05,2.4123
2016-08-04,2.3989
2016-08-03,2.3974
2016-08-01,2.4141
2016-07-29,2.3989
2016-07-28,2.4041
2016-07-27,2.3981
2016-07-26,2.3968
2016-07-25,2.3923
2016-07-22,2.3995
2016-07-21,2.3991
2016-07-20,2.3987
2016-07-19,2.393
2016-07-18,2.3976
2016-07-15,2.399
2016-07-14,2.3968
2016-07-13,2.3909
2016-07-12,2.3908
2016-07-11,2.3784
2016-07-08,2.3624
2016-07-07,2.3614
2016-07-06,2.3533
2016-07-05,2.3706
2016-07-04,2.3797
2016-06-30,2.3685
2016-06-29,2.3407
2016-06-28,2.3157
2016-06-27,2.3029
2016-06-24,2.3097
2016-06-23,2.3512
2016-06-22,2.3428
2016-06-21,2.3392
2016-06-20,2.3307
2016-06-17,2.3063
2016-06-16,2.3024
2016-06-15,2.309
2016-06-14,2.3025
2016-06-13,2.3161
2016-06-10,2.342
2016-06-08,2.3657
2016-06-07,2.3623
2016-06-06,2.345
2016-06-03,2.3308
2016-06-02,2.3253
2016-06-01,2.3186
2016-05-31,2.3156
2016-05-30,2.3123
2016-05-27,2.3116
2016-05-26,2.3044
2016-05-25,2.2974
2016-05-24,2.284
2016-05-23,2.2816
2016-05-20,2.2827
2016-05-19,2.2757
2016-05-18,2.2891
2016-05-17,2.2971
2016-05-16,2.2942
2016-05-13,2.2904
2016-05-12,2.2967
2016-05-11,2.2972
2016-05-10,2.3002
2016-05-09,2.2966
2016-05-06,2.291
2016-05-05,2.299
2016-05-04,2.3038
2016-05-03,2.3174
2016-04-29,2.3198
2016-04-28,2.3279
2016-04-27,2.3267
2016-04-26,2.3269
2016-04-25,2.3271
2016-04-22,2.3389
2016-04-21,2.3483
2016-04-20,2.3489
2016-04-19,2.3551
2016-04-18,2.342
2016-04-15,2.3449
2016-04-14,2.3384
2016-04-13,2.3353
2016-04-12,2.315
2016-04-11,2.3069
2016-04-08,2.3033
2016-04-07,2.2978
2016-04-06,2.2947
2016-04-05,2.2905
2016-04-01,2.2988
2016-03-31,2.3044
2016-03-30,2.3109
2016-03-29,2.2792
2016-03-24,2.2716
2016-03-23,2.2845
2016-03-22,2.2901
2016-03-21,2.287
2016-03-18,2.2848
2016-03-17,2.2725
2016-03-16,2.247
2016-03-15,2.2491
2016-03-14,2.2598
2016-03-11,2.249
2016-03-10,2.2328
2016-03-09,2.2351
2016-03-08,2.2389
2016-03-07,2.2437
