Date,Price
2016-12-12,1.8936
2016-12-09,1.9029
2016-12-08,1.9088
2016-12-07,1.9048
2016-12-06,1.9028
2016-12-05,1.8966
2016-12-02,1.8968
2016-12-01,1.8982
2016-11-30,1.9049
2016-11-29,1.906
2016-11-28,1.9067
2016-11-25,1.9003
2016-11-24,1.8952
2016-11-23,1.9014
2016-11-22,1.9038
2016-11-21,1.8994
2016-11-18,1.8991
2016-11-17,1.9044
2016-11-16,1.9058
2016-11-15,1.9081
2016-11-14,1.9056
2016-11-11,1.9203
2016-11-10,1.9361
2016-11-09,1.9459
2016-11-08,1.9596
2016-11-07,1.9572
2016-11-04,1.9549
2016-11-03,1.9581
2016-11-02,1.9595
2016-11-01,1.9611
2016-10-31,1.9597
2016-10-28,1.9579
2016-10-27,1.9625
2016-10-26,1.97
2016-10-25,1.9751
2016-10-24,1.9803
2016-10-20,1.9816
2016-10-19,1.9817
2016-10-18,1.9804
2016-10-17,1.9705
2016-10-14,1.9749
2016-10-13,1.9736
2016-10-12,1.9811
2016-10-11,1.9857
2016-10-07,1.9923
2016-10-06,1.9994
2016-10-05,2.0019
2016-10-04,2.0054
2016-10-03,2.0071
2016-09-30,2.0025
2016-09-29,2.0078
2016-09-28,2.0086
2016-09-27,2.0087
2016-09-26,2.0018
2016-09-23,2.0064
2016-09-22,2.0081
2016-09-21,1.9957
2016-09-20,1.9947
2016-09-19,1.9915
2016-09-15,1.9869
2016-09-14,1.9815
2016-09-13,1.987
2016-09-12,1.9901
2016-09-09,2.0029
2016-09-08,2.0163
2016-09-07,2.0185
2016-09-06,2.0107
2016-09-05,2.0047
2016-09-02,1.9996
2016-09-01,1.9933
2016-08-31,1.9963
2016-08-30,2.0011
2016-08-29,1.9995
2016-08-26,2.0051
2016-08-25,2.0058
2016-08-24,2.0064
2016-08-23,2.0096
2016-08-22,2.0034
2016-08-19,2.0049
2016-08-18,2.009
2016-08-17,2.0024
2016-08-16,2.003
2016-08-15,2.0038
2016-08-12,2.0003
2016-08-11,1.9984
2016-08-10,1.9951
2016-08-09,1.988
2016-08-08,1.9854
2016-08-05,1.9851
2016-08-04,1.9807
2016-08-03,1.9797
2016-08-01,1.987
2016-07-29,1.9801
2016-07-28,1.9797
2016-07-27,1.9744
2016-07-26,1.9729
2016-07-25,1.9684
2016-07-22,1.9727
2016-07-21,1.9714
2016-07-20,1.9712
2016-07-19,1.9717
2016-07-18,1.973
2016-07-15,1.9753
2016-07-14,1.9763
2016-07-13,1.9761
2016-07-12,1.9764
2016-07-11,1.9752
2016-07-08,1.9726
2016-07-07,1.971
2016-07-06,1.9689
2016-07-05,1.9749
2016-07-04,1.9746
2016-06-30,1.9685
2016-06-29,1.9572
2016-06-28,1.9486
2016-06-27,1.9427
2016-06-24,1.9414
2016-06-23,1.9516
2016-06-22,1.9489
2016-06-21,1.9483
2016-06-20,1.9455
2016-06-17,1.9376
2016-06-16,1.9388
2016-06-15,1.9379
2016-06-14,1.9359
2016-06-13,1.9413
2016-06-10,1.9504
2016-06-08,1.957
2016-06-07,1.9539
2016-06-06,1.9469
2016-06-03,1.9385
2016-06-02,1.9331
2016-06-01,1.9287
2016-05-31,1.9265
2016-05-30,1.9243
2016-05-27,1.9267
2016-05-26,1.9233
2016-05-25,1.9196
2016-05-24,1.915
2016-05-23,1.9151
2016-05-20,1.9148
2016-05-19,1.9109
2016-05-18,1.9174
2016-05-17,1.9236
2016-05-16,1.9226
2016-05-13,1.923
2016-05-12,1.9249
2016-05-11,1.9261
2016-05-10,1.9258
2016-05-09,1.9257
2016-05-06,1.9246
2016-05-05,1.9271
2016-05-04,1.9286
2016-05-03,1.9358
2016-04-29,1.9307
2016-04-28,1.9319
2016-04-27,1.9261
2016-04-26,1.9255
2016-04-25,1.9251
2016-04-22,1.9329
2016-04-21,1.9372
2016-04-20,1.9421
2016-04-19,1.9437
2016-04-18,1.9395
2016-04-15,1.9396
2016-04-14,1.9365
2016-04-13,1.9373
2016-04-12,1.9311
2016-04-11,1.9293
2016-04-08,1.9277
2016-04-07,1.9261
2016-04-06,1.9223
2016-04-05,1.9223
2016-04-01,1.9233
2016-03-31,1.9227
2016-03-30,1.9237
2016-03-29,1.9086
2016-03-24,1.9031
2016-03-23,1.9097
2016-03-22,1.9133
2016-03-21,1.9125
2016-03-18,1.9133
2016-03-17,1.9057
2016-03-16,1.8891
2016-03-15,1.8897
2016-03-14,1.8933
2016-03-11,1.8882
2016-03-10,1.8813
2016-03-09,1.885
2016-03-08,1.8893
2016-03-07,1.8849
2016-03-04,1.8866
2016-03-03,1.881
2016-03-02,1.8772
2016-03-01,1.8724
2016-02-29,1.8657
2016-02-26,1.8701
2016-02-25,1.8656
2016-02-24,1.8646
2016-02-23,1.8684
2016-02-22,1.8714
