Date,Price
2016-12-12,2.1245
2016-12-09,2.138
2016-12-08,2.1426
2016-12-07,2.1344
2016-12-06,2.1305
2016-12-05,2.1214
2016-12-02,2.1219
2016-12-01,2.1289
2016-11-30,2.1337
2016-11-29,2.1323
2016-11-28,2.1338
2016-11-25,2.1276
2016-11-24,2.1196
2016-11-23,2.1264
2016-11-22,2.1283
2016-11-21,2.1204
2016-11-18,2.1202
2016-11-17,2.1224
2016-11-16,2.1234
2016-11-15,2.1244
2016-11-14,2.1221
2016-11-11,2.1397
2016-11-10,2.1633
2016-11-09,2.1637
2016-11-08,2.1836
2016-11-07,2.1784
2016-11-04,2.17
2016-11-03,2.1753
2016-11-02,2.1792
2016-11-01,2.1886
2016-10-31,2.1851
2016-10-28,2.1849
2016-10-27,2.1912
2016-10-26,2.2005
2016-10-25,2.2092
2016-10-24,2.216
2016-10-20,2.2157
2016-10-19,2.2154
2016-10-18,2.214
2016-10-17,2.1979
2016-10-14,2.2058
2016-10-13,2.2003
2016-10-12,2.2147
2016-10-11,2.2213
2016-10-07,2.2318
2016-10-06,2.2413
2016-10-05,2.2426
2016-10-04,2.2452
2016-10-03,2.2433
2016-09-30,2.2324
2016-09-29,2.2422
2016-09-28,2.2422
2016-09-27,2.2412
2016-09-26,2.2299
2016-09-23,2.2419
2016-09-22,2.2443
2016-09-21,2.23
2016-09-20,2.2268
2016-09-19,2.2248
2016-09-15,2.2148
2016-09-14,2.2071
2016-09-13,2.2138
2016-09-12,2.2181
2016-09-09,2.2394
2016-09-08,2.2543
2016-09-07,2.2551
2016-09-06,2.2476
2016-09-05,2.2402
2016-09-02,2.2317
2016-09-01,2.2205
2016-08-31,2.224
2016-08-30,2.2307
2016-08-29,2.2275
2016-08-26,2.2349
2016-08-25,2.2346
2016-08-24,2.2347
2016-08-23,2.239
2016-08-22,2.2312
2016-08-19,2.2337
2016-08-18,2.2386
2016-08-17,2.23
2016-08-16,2.2314
2016-08-15,2.2333
2016-08-12,2.2281
2016-08-11,2.2255
2016-08-10,2.2182
2016-08-09,2.2115
2016-08-08,2.2077
2016-08-05,2.2043
2016-08-04,2.1958
2016-08-03,2.1944
2016-08-01,2.2061
2016-07-29,2.1952
2016-07-28,2.1968
2016-07-27,2.1911
2016-07-26,2.1898
2016-07-25,2.1853
2016-07-22,2.1912
2016-07-21,2.1899
2016-07-20,2.1898
2016-07-19,2.1876
2016-07-18,2.1906
2016-07-15,2.1927
2016-07-14,2.1923
2016-07-13,2.1897
2016-07-12,2.1898
2016-07-11,2.1835
2016-07-08,2.175
2016-07-07,2.1734
2016-07-06,2.1687
2016-07-05,2.1802
2016-07-04,2.1841
2016-06-30,2.1758
2016-06-29,2.1564
2016-06-28,2.14
2016-06-27,2.1304
2016-06-24,2.1333
2016-06-23,2.1586
2016-06-22,2.1528
2016-06-21,2.151
2016-06-20,2.1458
2016-06-17,2.131
2016-06-16,2.13
2016-06-15,2.1324
2016-06-14,2.1282
2016-06-13,2.1374
2016-06-10,2.1548
2016-06-08,2.1697
2016-06-07,2.1663
2016-06-06,2.1545
2016-06-03,2.1439
2016-06-02,2.1377
2016-06-01,2.1326
2016-05-31,2.1301
2016-05-30,2.1273
2016-05-27,2.1283
2016-05-26,2.1231
2016-05-25,2.1179
2016-05-24,2.1092
2016-05-23,2.1081
2016-05-20,2.1085
2016-05-19,2.103
2016-05-18,2.1128
2016-05-17,2.1199
2016-05-16,2.118
2016-05-13,2.1165
2016-05-12,2.1205
2016-05-11,2.1214
2016-05-10,2.1226
2016-05-09,2.1209
2016-05-06,2.1176
2016-05-05,2.1227
2016-05-04,2.1258
2016-05-03,2.1361
2016-04-29,2.1343
2016-04-28,2.1387
2016-04-27,2.135
2016-04-26,2.1347
2016-04-25,2.1346
2016-04-22,2.1444
2016-04-21,2.1511
2016-04-20,2.1541
2016-04-19,2.1578
2016-04-18,2.1494
2016-04-15,2.1508
2016-04-14,2.1461
2016-04-13,2.145
2016-04-12,2.1323
2016-04-11,2.1276
2016-04-08,2.125
2016-04-07,2.1216
2016-04-06,2.1181
2016-04-05,2.1161
2016-04-01,2.1206
2016-03-31,2.1227
2016-03-30,2.1263
2016-03-29,2.1034
2016-03-24,2.0968
2016-03-23,2.1064
2016-03-22,2.111
2016-03-21,2.1091
2016-03-18,2.1086
2016-03-17,2.0986
2016-03-16,2.0777
2016-03-15,2.0791
2016-03-14,2.086
2016-03-11,2.0782
2016-03-10,2.0668
2016-03-09,2.07
2016-03-08,2.0741
2016-03-07,2.0739
2016-03-04,2.0766
2016-03-03,2.0665
2016-03-02,2.0601
2016-03-01,2.0482
2016-02-29,2.0341
2016-02-26,2.042
2016-02-25,2.0338
2016-02-24,2.0329
2016-02-23,2.0408
2016-02-22,2.0471
2016-02-19,2.0399
2016-02-18,2.0385
2016-02-17,2.028
2016-02-16,2.0264
2016-02-15,2.0247
2016-02-12,2.0078
2016-02-11,2.0104
2016-02-05,2.027
2016-02-04,2.0207
2016-02-03,2.0105
2016-02-02,2.0204
2016-02-01,2.0231
2016-01-29,2.0224
2016-01-28,1.9973
2016-01-27,1.9984
2016-01-26,1.9935
2016-01-25,1.9981
2016-01-22,1.9917
2016-01-21,1.9762
2016-01-20,1.9847
2016-01-19,2.0064
2016-01-18,1.9967
2016-01-15,2.0037
2016-01-14,2.0098
2016-01-13,2.0127
2016-01-12,2.0067
2016-01-11,2.0043
2016-01-08,2.0197
2016-01-07,2.0218
2016-01-06,2.0392
2016-01-05,2.0472
2016-01-04,2.0505
2015-12-31,2.0723
2015-12-30,2.073
2015-12-29,2.0777
2015-12-28,2.0722
2015-12-24,2.0726
2015-12-23,2.071
2015-12-22,2.0619
2015-12-21,2.0562
2015-12-18,2.0568
2015-12-17,2.0615
2015-12-16,2.0574
2015-12-15,2.0524
2015-12-14,2.0457
2015-12-11,2.0521
2015-12-10,2.0625
2015-12-09,2.0635
2015-12-08,2.0682
2015-12-07,2.08
2015-12-04,2.0758
2015-12-03,2.0691
2015-12-02,2.0856
2015-12-01,2.0824
2015-11-30,2.0729
2015-11-27,2.0792
2015-11-26,2.0864
2015-11-25,2.0889
2015-11-24,2.0862
2015-11-23,2.088
2015-11-20,2.0913
2015-11-19,2.0859
2015-11-18,2.0745
2015-11-17,2.0717
2015-11-16,2.0652
2015-11-13,2.0689
2015-11-12,2.077
2015-11-11,2.0739
2015-11-10,2.0665
2015-11-09,2.0745
2015-11-06,2.0889
2015-11-05,2.0958
2015-11-04,2.1024
2015-11-03,2.0981
2015-11-02,2.0954
2015-10-30,2.0984
2015-10-29,2.0988
2015-10-28,2.111
2015-10-27,2.1104
2015-10-26,2.1117
2015-10-23,2.1155
2015-10-22,2.1068
2015-10-20,2.1008
2015-10-19,2.1037
2015-10-16,2.1025
2015-10-15,2.1011
2015-10-14,2.0828
2015-10-13,2.0861
2015-10-12,2.0896
2015-10-09,2.085
2015-10-08,2.078
2015-10-07,2.077
2015-10-06,2.0618
2015-10-05,2.0627
2015-10-02,2.0438
2015-09-30,2.0319
2015-09-29,2.0153
2015-09-25,2.0275
2015-09-24,2.0262
2015-09-23,2.0309
2015-09-22,2.0436
2015-09-21,2.0511
2015-09-18,2.0575
2015-09-17,2.0518
2015-09-16,2.0457
2015-09-15,2.0391
2015-09-14,2.0431
2015-09-11,2.0405
2015-09-10,2.0396
2015-09-09,2.0487
2015-09-08,2.0321
2015-09-07,2.0187
2015-09-04,2.0243
2015-09-02,2.027
2015-09-01,2.028
2015-08-31,2.044
2015-08-28,2.0524
2015-08-27,2.0502
2015-08-26,2.0304
2015-08-25,2.0314
2015-08-24,2.0252
2015-08-21,2.0603
